name,type,description,source_chunk,value
USER_NAME,VARCHAR2,Mã user (ví dụ: HUY.NGUYEN),3fd5fdacef205dee,
USER_ID,NUMBER,Mã định danh user,3fd5fdacef205dee,
PRECINCT_CODE,VARCHAR2,Mã phường/xã mà user được truy cập (ví dụ: VTAU),3fd5fdacef205dee,
PRECINCT_NAME,VARCHAR2,Tên phường/xã mà user được truy cập (ví dụ: Phường Vũng Tàu),3fd5fdacef205dee,
HUB_CODE,VARCHAR2,Hub quản lý (mã hub) của phường/xã mà user được truy cập (ví dụ: VT.1),3fd5fdacef205dee,
BRANCH_CODE,VARCHAR2,"Mã TTKD/chi nhánh của phường/xã mà user được truy cập (gồm Tên TTKD/chi nhánh: Trung Tâm Kinh Doanh Sài Gòn, Trung Tâm Kinh Doanh Gia Định, Trung Tâm Kinh Doanh Bến Thành, Trung Tâm Kinh Doanh Gò Vấp, Trung Tâm Kinh Doanh Thủ Đức, Trung Tâm Kinh Doanh Bình Dương, Trung Tâm Kinh Doanh Vũng Tàu)",3fd5fdacef205dee,
BRANCH_NAME,VARCHAR2,"Tên TTKD/chi nhánh (gồm 7 giá trị: Trung Tâm Kinh Doanh Sài Gòn, Trung Tâm Kinh Doanh Gia Định, Trung Tâm Kinh Doanh Bến Thành, Trung Tâm Kinh Doanh Gò Váp, Trung Tâm Kinh Doanh Thủ Đức, Trung Tâm Kinh Doanh Bình Dương, Trung Tâm Kinh Doanh Vũng Tàu)",3fd5fdacef205dee,
PRECINCT,table,Lưu trữ thông tin của các phường/xã,9d55c22ea9d0ead2,
ID,number,Khóa chính,9d55c22ea9d0ead2,
CODE,varchar,Mã phường xã,9d55c22ea9d0ead2,
NAME,varchar,Tên phường xã,9d55c22ea9d0ead2,
BRANCH_NAME,varchar,Tên TTKD,9d55c22ea9d0ead2,
HUB,varchar,Tên Hub,9d55c22ea9d0ead2,
BRANCH_CODE,varchar,Mã TTKD,9d55c22ea9d0ead2,
NEW,table,Tô tả bảng BĐS,9d55c22ea9d0ead2,
SALE_CODE,VARCHAR2,Mã điểm bán,03163ba4786c9266,
SUM_DATE,VARCHAR2,Ngày tổng hợp dữ liệu,03163ba4786c9266,
MC_QUANTITY_DAY,NUMBER,Số lượng thuê bao trả trước trong ngày hiện tại,03163ba4786c9266,
MF_QUANTITY_DAY,NUMBER,Số lượng thuê bao trả sau trong ngày hiện tại,03163ba4786c9266,
ALL_QUANTITY_DAY,NUMBER,Tổng số thuê bao trong ngày hiện tại,03163ba4786c9266,
SUM_MONTH,VARCHAR2,Tháng tổng hợp dữ liệu,03163ba4786c9266,
MC_QUANTITY_MONTH,NUMBER,Số lượng thuê bao trả trước trong tháng hiện tại,03163ba4786c9266,
MF_QUANTITY_MONTH,NUMBER,Số lượng thuê bao trả sau trong tháng hiện tại,03163ba4786c9266,
ALL_QUANTITY_MONTH,NUMBER,Tổng số thuê bao trong tháng hiện tại,03163ba4786c9266,
SUM_YEAR,VARCHAR2,Năm tổng hợp dữ liệu,03163ba4786c9266,
MC_QUANTITY_YEAR,NUMBER,Số lượng thuê bao trả trước trong năm hiện tại,03163ba4786c9266,
MF_QUANTITY_YEAR,NUMBER,Số lượng thuê bao trả sau trong năm hiện tại,03163ba4786c9266,
ALL_QUANTITY_YEAR,NUMBER,Tổng số thuê bao trong năm hiện tại,03163ba4786c9266,
MC_QUANTITY_ALL_YEAR,NUMBER,Tổng số thuê bao trả trước trong tất cả các năm,03163ba4786c9266,
MF_QUANTITY_ALL_YEAR,NUMBER,Lũy kế thuê bao trả sau trong tất cả các năm,03163ba4786c9266,
ALL_QUANTITY_ALL_YEAR,NUMBER,Tổng lũy kế thuê bao trong tất cả các năm,03163ba4786c9266,
START_DATE_LAST_WEEK,VARCHAR2,Ngày bắt đầu tuần trước,03163ba4786c9266,
LAST_DATE_LAST_WEEK,VARCHAR2,Ngày kết thúc tuần trước,03163ba4786c9266,
MC_QUANTITY_LAST_WEEK,NUMBER,Số lượng thuê bao trả trước trong tuần trước,03163ba4786c9266,
MF_QUANTITY_LAST_WEEK,NUMBER,Số lượng thuê bao trả sau trong tuần trước,03163ba4786c9266,
ALL_QUANTITY_LAST_WEEK,NUMBER,Tổng số thuê bao trong tuần trước,03163ba4786c9266,
START_DATE_THIS_WEEK,VARCHAR2,Ngày bắt đầu tuần hiện tại,03163ba4786c9266,
LAST_DATE_THIS_WEEK,VARCHAR2,Ngày kết thúc tuần hiện tại,03163ba4786c9266,
MC_QUANTITY_THIS_WEEK,NUMBER,Số lượng thuê bao trả trước trong tuần hiện tại,03163ba4786c9266,
MF_QUANTITY_THIS_WEEK,NUMBER,Số lượng thuê bao trả sau trong tuần hiện tại,03163ba4786c9266,
ALL_QUANTITY_THIS_WEEK,NUMBER,Tổng số thuê bao trong tuần hiện tại,03163ba4786c9266,
SALE_POINT_QUANTITY_LAST_WEEK,NUMBER,"Điểm bán này có phát triển thuê bao hay chưa, tính từ ngày đầu tháng hiện tại đến ngày bắt đầu tuần trước",03163ba4786c9266,
SALE_POINT_QUANTITY_THIS_WEEK,NUMBER,"Điểm bán này có phát triển thuê bao hay chưa, tính từ ngày đầu tháng hiện tại đến ngày bắt đầu tuần hiện tại",03163ba4786c9266,
POINT_OF_SALE,table,Lưu trữ thông tin của các điểm bán,0f7913487de118aa,
ID,number,Mã định danh điểm bán,0f7913487de118aa,
ADDRESS,varchar,Địa chỉ điểm bán,0f7913487de118aa,
BRANCH_NAME,varchar,Tên TTKD/chi nhánh,0f7913487de118aa,
EMP_NAME,varchar,Tên nhân viên phụ trách,0f7913487de118aa,
HUB,varchar,Hub quản lý,0f7913487de118aa,
HUB_LEADER,varchar,Tên trưởng Hub,0f7913487de118aa,
LAT,varchar,Vĩ độ,0f7913487de118aa,
LON,varchar,Kinh độ,0f7913487de118aa,
NVBH_CODE,varchar,Mã nhân viên bán hàng,0f7913487de118aa,
PARENT_SALE_CODE,varchar,Mã nhân viên/quản lý cấp trên,0f7913487de118aa,
PARENT_SALE_NAME,varchar,Tên nhân viên/quản lý cấp trên,0f7913487de118aa,
PHONE_NUMBER,varchar,Số điện thoại điểm bán,0f7913487de118aa,
PRECINCT_NAME,varchar,Tên phường/xã,0f7913487de118aa,
SALE_CODE,varchar,Mã điểm bán,0f7913487de118aa,
SALE_NAME,varchar,Tên điểm bán,0f7913487de118aa,
SALE_TYPE,varchar,Loại điểm bán,0f7913487de118aa,
PRECINCT_CODE,varchar,Mã phường/xã,0f7913487de118aa,
MÔ TẢ,text,Ý nghĩa của bảng: Lưu trữ thông tin của các điểm bán,0f7913487de118aa,
BẢNG,table,Chi tiết các cột trong bảng,0f7913487de118aa,
COLUM_NAME,varchar,Tên cột,0f7913487de118aa,
DATA_TYPE,varchar,Kiểu dữ liệu,0f7913487de118aa,
DESCRIPTION,text,Mô tả,0f7913487de118aa,
Bảng NHAN_VIEN_CHAM_SOC_LONG,table,Store history of point-of-sale staff care data,6bdd9df066f940b3,
INSERT_DATE,date,Date of data recording,6bdd9df066f940b3,
NGAY_CHAM_SOC,date,Date of staff care at point-of-sale,6bdd9df066f940b3,
MA_DIEM_BAN,varchar,Point-of-sale code,6bdd9df066f940b3,
TEN_DIEM_BAN,varchar,Point-of-sale name,6bdd9df066f940b3,
NGUOI_GIAO_KE_HOACH,varchar,Person responsible for planning care,6bdd9df066f940b3,
NHAN_VIEN_CHAM_SOC,varchar,Staff name,6bdd9df066f940b3,
MA_NHAN_VIEN_CHAM_SOC,varchar,Staff identification code,6bdd9df066f940b3,
Mô tả bảng BĐS (NEW),table,Description of table,6bdd9df066f940b3,
Dữ liệu điểm bán,table,Point-of-sale data table,6bdd9df066f940b3,
Ý nghĩa của bảng,text,Table meaning description,6bdd9df066f940b3,
Chi tiết các cột trong bảng,table,Column details table,6bdd9df066f940b3,
**Tên cột**,varchar,Column name,6bdd9df066f940b3,
**Kiểu dữ liệu**,varchar,Data type,6bdd9df066f940b3,
**Mô tả**,text,Column description,6bdd9df066f940b3,
Mô tả,text,Description,6bdd9df066f940b3,
Employee,Concept,A member of staff,cef251141c0e9ac5,
Branch,Concept,A business center,cef251141c0e9ac5,
Hub,Concept,A managerial area,cef251141c0e9ac5,
Sales,Concept,A sales point,cef251141c0e9ac5,
ID,Attribute,Unique identifier,cef251141c0e9ac5,
BRANCH_NAME,Attribute,Name of the branch,cef251141c0e9ac5,
EMP_CODE,Attribute,Employee code,cef251141c0e9ac5,
HUB,Attribute,Name of the hub,cef251141c0e9ac5,
HUB_LEADER,Attribute,Name or code of the hub leader,cef251141c0e9ac5,
SALES_CODE,Attribute,Sales code,cef251141c0e9ac5,
SALES_NAME,Attribute,Name of the sales person,cef251141c0e9ac5,
Employee_Sales,Concept,Table for storing employee sales information,cef251141c0e9ac5,
ID,Attribute,Unique identifier,cef251141c0e9ac5,
BRANCH_NAME,Attribute,Name of the branch,cef251141c0e9ac5,
EMP_CODE,Attribute,Employee code,cef251141c0e9ac5,
HUB,Attribute,Name of the hub,cef251141c0e9ac5,
HUB_LEADER,Attribute,Name or code of the hub leader,cef251141c0e9ac5,
SALES_CODE,Attribute,Sales code,cef251141c0e9ac5,
SALES_NAME,Attribute,Name of the sales person,cef251141c0e9ac5,
SHOP_CODE,VARCHAR2,Mã cửa hàng,378ed878104860e6,
