source,target,description,source_chunk,type,value,to
PRECINCT_CODE,PRECINCT_NAME,Liên kết với các bảng khác qua cột PRECINCT_CODE,3fd5fdacef205dee,,,
PRECINCT,OTHER_TABLES,Liên kết với các bảng khác qua cột CODE,9d55c22ea9d0ead2,,,
PRECINCT,,Liên kết với các bảng khác qua cột CODE,9d55c22ea9d0ead2,,,
SALE_CODE,,Mã điểm bán,03163ba4786c9266,,,
POINT_OF_SALE,address,Mối liên kết với các bảng khác qua cột SALE_CODE và PRECINCT_CODE,0f7913487de118aa,,,
MÔ TẢ,BẢNG,Chi tiết các cột trong bảng,0f7913487de118aa,,,
Employee,Branch,An employee is assigned to a branch,cef251141c0e9ac5,,,
Employee,Hub,An employee is working in a hub,cef251141c0e9ac5,,,
Employee,Sales,An employee is a sales person,cef251141c0e9ac5,,,
Employee,HUB_LEADER,An employee is led by a hub leader,cef251141c0e9ac5,,,
Branch,Hub,A branch is part of a hub,cef251141c0e9ac5,,,
Hub,Employee,A hub has employees,cef251141c0e9ac5,,,
Hub,HUB_LEADER,A hub has a leader,cef251141c0e9ac5,,,
Employee_Sales,SALES_CODE,An employee sales record is associated with a sales code,cef251141c0e9ac5,,,
Employee_Sales,SALES_NAME,An employee sales record is associated with a sales person,cef251141c0e9ac5,,,
PRECINCT_CODE,Mã phường/xã,Liên kết với các bảng khác qua cột PRECINCT_CODE,378ed878104860e6,,,
,,,ec0b396a94cf5ff1,reference,PRECINCT_CODE,"[table], precint_name"
PUBLIC_LOCATION,PRECINCT_CODE,Mối liên kết: Liên kết với các bảng khác qua cột PRECINCT_CODE,c3e5943cb337e23f,,,
PRECINCT_CODE,,Liên kết với các bảng khác qua cột PRECINCT_CODE,5f9080ee02016b76,,,
PRECINCT_CODE,PRECINCT_NAME,Mã phường/xã được liên kết với Tên phường/xã qua cột mã.,20969af433bff5fe,,,
PRECINCT_CODE,VLR,Mã phường/xã được liên kết với VLR qua cột mã.,20969af433bff5fe,,,
Date,VLR,ngày phát triển thuê bao được liên kết với VLR qua cột ngày.,20969af433bff5fe,,,
pck_report_chatbox.get_vlr_data_by_precinct,TABLE,"TABLE(pck_report_chatbox.get_vlr_data_by_precinct (TO_DATE(TO_CHAR(:date), 'dd/mm/yyyy'), UPPER(:user_name)))",20969af433bff5fe,,,
Precinct Code,Precinct Name,Mã phường/xã liên kết với tên phường/xã,2f405962fce66ee3,,,
PRECINCT_CODE,PRECINCT_NAME,Liên kết với các bảng khác qua cột PRECINCT_CODE,2f405962fce66ee3,,,
LOCATION_GROUP,ID,The location group is associated with the ID.,eb8d872f0ba67f55,,,
LOCATION_GROUP,Name,The location group is associated with the Name.,eb8d872f0ba67f55,,,
LOCATION_GROUP,objects,The location group is associated with the objects.,eb8d872f0ba67f55,,,
LOCATION_GROUP,names,The location group is associated with the names.,eb8d872f0ba67f55,,,
LOCATION_GROUP,items,The location group is associated with the items.,eb8d872f0ba67f55,,,
LOCATION_GROUP,concepts,The location group is associated with the concepts.,eb8d872f0ba67f55,,,
LOCATION_GROUP,Bảng BĐS (NEW],The location group is associated with the table.,eb8d872f0ba67f55,,,
Bảng BĐS (NEW),LOCATION_GROUP,The table is associated with the location group.,eb8d872f0ba67f55,,,
LOCATION_GROUP,Quản lý công việc và dự án,The location group is associated with the project category.,eb8d872f0ba67f55,,,
Quản lý công việc và dự án,LOCATION_GROUP,The project category is associated with the location group.,eb8d872f0ba67f55,,,
Bảng PROJECT,ID,Khoá chính,39ffb880cf0d5103,,,
Bảng PROJECT,NAME,Tên dự án,39ffb880cf0d5103,,,
Bảng PROJECT,LOCATION_GROUP_ID,Mã nhóm địa điểm liên kết,39ffb880cf0d5103,,,
Bảng PROJECT,LOCATION_GROUP_ID,Link to các bảng khác,39ffb880cf0d5103,,,
MÔ TẢ BẢNG BĐS,BẬNG PROJECT,Lưu trữ thông tin dự án.,39ffb880cf0d5103,,,
BẬNG PROJECT,NAME,Tên dự án,39ffb880cf0d5103,,,
BẬNG PROJECT,LOCATION_GROUP_ID,Mã nhóm địa điểm liên kết,39ffb880cf0d5103,,,
BẬNG PROJECT,ID,Khoá chính,39ffb880cf0d5103,,,
ID,LOCATION_GROUP_ID,"Liên kết với bảng khác qua cột ID, LOCATION_GROUP_ID",88fdbdc40769b0bd,,,
