source,target,description,weight
precinct_code,precinct_name,Liên kết với các bảng khác qua cột PRECINCT_CODE,5
precinct,other_tables,Liên kết với các bảng khác qua cột CODE,5
precinct,nan,Liên kết với các bảng khác qua cột CODE,5
sale_code,nan,Mã điểm bán,5
point_of_sale,address,Mối liên kết với các bảng khác qua cột SALE_CODE và PRECINCT_CODE,5
mô tả,bảng,Chi tiết các cột trong bảng,5
employee,branch,An employee is assigned to a branch,5
employee,hub,An employee is working in a hub,5
employee,sales,An employee is a sales person,5
employee,hub_leader,An employee is led by a hub leader,5
branch,hub,A branch is part of a hub,5
hub,employee,A hub has employees,5
hub,hub_leader,A hub has a leader,5
employee_sales,sales_code,An employee sales record is associated with a sales code,5
employee_sales,sales_name,An employee sales record is associated with a sales person,5
precinct_code,mã phường/xã,Liên kết với các bảng khác qua cột PRECINCT_CODE,5
nan,nan,,5
public_location,precinct_code,Mối liên kết: Liên kết với các bảng khác qua cột PRECINCT_CODE,5
precinct_code,nan,Liên kết với các bảng khác qua cột PRECINCT_CODE,5
precinct_code,precinct_name,Mã phường/xã được liên kết với Tên phường/xã qua cột mã.,5
precinct_code,vlr,Mã phường/xã được liên kết với VLR qua cột mã.,5
date,vlr,ngày phát triển thuê bao được liên kết với VLR qua cột ngày.,5
pck_report_chatbox.get_vlr_data_by_precinct,table,"TABLE(pck_report_chatbox.get_vlr_data_by_precinct (TO_DATE(TO_CHAR(:date), 'dd/mm/yyyy'), UPPER(:user_name)))",5
precinct code,precinct name,Mã phường/xã liên kết với tên phường/xã,5
precinct_code,precinct_name,Liên kết với các bảng khác qua cột PRECINCT_CODE,5
location_group,id,The location group is associated with the ID.,5
location_group,name,The location group is associated with the Name.,5
location_group,objects,The location group is associated with the objects.,5
location_group,names,The location group is associated with the names.,5
location_group,items,The location group is associated with the items.,5
location_group,concepts,The location group is associated with the concepts.,5
location_group,bảng bđs (new],The location group is associated with the table.,5
bảng bđs (new),location_group,The table is associated with the location group.,5
location_group,quản lý công việc và dự án,The location group is associated with the project category.,5
quản lý công việc và dự án,location_group,The project category is associated with the location group.,5
bảng project,id,Khoá chính,5
bảng project,name,Tên dự án,5
bảng project,location_group_id,Mã nhóm địa điểm liên kết,5
bảng project,location_group_id,Link to các bảng khác,5
mô tả bảng bđs,bậng project,Lưu trữ thông tin dự án.,5
bậng project,name,Tên dự án,5
bậng project,location_group_id,Mã nhóm địa điểm liên kết,5
bậng project,id,Khoá chính,5
id,location_group_id,"Liên kết với bảng khác qua cột ID, LOCATION_GROUP_ID",5
id,precinct_name,"Liên kết với bảng khác qua cột ID, PRECINCT_NAME",5
bàng,quản lý công việc và dự án,Liên kết với Quản lý công việc và dự án qua cột LOCATION,5
bảng v_man_task,id, Liên kết với các bảng khác qua cột ID,5
bảng v_man_task,progress_id,Liên kết với các bảng khác qua cột PROGRESS_ID,5
bảng v_man_task,location_id,Liên kết với các bảng khác qua cột LOCATION_ID,5
bảng v_man_task,project_id,Liên kết với các bảng khác qua cột PROJECT_ID,5
bảng v_man_task,assigner_staff_id,Liên kết với các bảng khác qua cột assigner_staff_id,5
bảng v_man_task,assignee_staff_id,Liên kết với các bảng khác qua cột assignee_staff_id,5
bảng v_man_task,id,Liên kết với các bảng khác qua cột ID,5
bảng v_man_task,progress_id,Liên kết với các bảng khác qua cột PROGRESS_ID,5
bảng v_man_task,location_id,Liên kết với các bảng khác qua cột LOCATION_ID,5
bảng v_man_task,project_id,Liên kết với các bảng khác qua cột PROJECT_ID,5
bảng v_man_task,assigner_staff_id,Liên kết với các bảng khác qua cột assigner_staff_id,5
bảng v_man_task,assignee_staff_id,Liên kết với các bảng khác qua cột assignee_staff_id,5
v_cat_staff,other tables, Liên kết với các bảng khác qua cột ID,5
mf_quantity_all_year,last_date_last_week,co-occurrence,1
mf_quantity_all_year,start_date_this_week,co-occurrence,1
mf_quantity_all_year,mc_quantity_month,co-occurrence,1
mf_quantity_all_year,all_quantity_all_year,co-occurrence,1
mf_quantity_all_year,mc_quantity_day,co-occurrence,1
mf_quantity_all_year,last_date_this_week,co-occurrence,1
mf_quantity_all_year,all_quantity_month,co-occurrence,1
mf_quantity_all_year,sum_date,co-occurrence,1
mf_quantity_all_year,mf_quantity_last_week,co-occurrence,1
last_date_last_week,start_date_this_week,co-occurrence,1
last_date_last_week,mc_quantity_month,co-occurrence,1
last_date_last_week,all_quantity_all_year,co-occurrence,1
last_date_last_week,mc_quantity_day,co-occurrence,1
last_date_last_week,last_date_this_week,co-occurrence,1
last_date_last_week,all_quantity_month,co-occurrence,1
last_date_last_week,sum_date,co-occurrence,1
last_date_last_week,mf_quantity_last_week,co-occurrence,1
start_date_this_week,mc_quantity_month,co-occurrence,1
start_date_this_week,all_quantity_all_year,co-occurrence,1
start_date_this_week,mc_quantity_day,co-occurrence,1
